Focus,Best Starts for Kids Strategy,Partner,Project Description/Name,Contract Amount,King County Council Dist
Prenatal - 5,CBPS: Basic Needs Resources Brokering,Babies of Homelessness,"Babies of Homelessness improves the health and well-being of children, parents, and caregivers, by providing diapers, wipes, and formula to low-income families and agencies in need. We are thrilled by the opportunity to partner with King County’s Best Starts for Kids on our mission to get basic needs in the hands of families in need throughout King County. Funding from King County’s Best Starts for Kids will be allocated to the expansion of our partnership distribution program in King County. With support from Best Starts for Kids, Babies of Homelessness will double our diaper output to our King County partner agencies in 2023 and then sustain it over the grant cycle. The number of children served by each partner agency can vary widely. As such, we estimate that we will serve 3-7 more partners in 2023 with funding from Best Start for Kids. Contract End Date: 12/31/2025","$   398,643.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,CBPS: Basic Needs Resources Brokering,KidVantage,"Eastside Baby Corner’s mission is to help kids reach their full potential tomorrow by meeting basic needs today. We envision a world where all children are safe, healthy, and prepared to build their own futures. Since 1990 we have been a basic needs resource broker, helping kids to thrive by providing essentials such as diapers, formula, baby food, car seats, clothing, safe sleep items, and more. These essential resources reach families who are experiencing financial challenges, systemic racial, ethnic, and economic inequities, immigration, or family disruption through a 75+ network of community-based service partner organizations across central Puget Sound (62 partners are within King County). Contract End Date: 12/31/2025","$   398,643.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,CBPS: Basic Needs Resources Brokering,WestSide Baby,"WestSide Baby is the only organization in western King County focused on the large-scale distribution of diapers and other pre-owned children’s goods at no cost. We operate one of the largest diaper banks in the nation, distributing 2.5 million diapers in 2021. WestSide Baby fills a unique role in the social services sector by functioning as a “resource-broker” for new and gently used children’s goods by distributing directly to social service providers in King County. In 2022, WestSide Baby estimates serving 30,000 children with the distribution of: 2.6 million diapers, 1,700 car seats, 1,000 strollers, 300 cribs/safe sleep options, 30,000 hygiene products (such as wipes). While we focus on collecting and distributing the material items parents need for a child’s healthy development, our partner providers ensure that our goods reach families furthest from access to basic essentials, and use the donated items to promote the health, safety and stability of the families they serve. Contract End Date: 12/31/2025","$   398,643.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,CBPS: Kaleidoscope Play and Learn,A 4 Apple Learning Center,"A 4 Apple's mission is to provide high-quality programs for toddlers and preschool in a supportive, safe learning environment to create a home away from home. For over 25 years our work has fostered increased resilience in Black families within the Central District neighborhood of Seattle. Our Kaleidoscope Play and Learn groups will continue to center Black families, especially those aged 2 to 5 years with disabilities and their caregivers, to ensure a strong foundation and long-term thriving. Contract End Date: 12/31/2025","$   153,235.00",UNKNOWN
Prenatal - 5,CBPS: Kaleidoscope Play and Learn,Center for Human Services,"We will host Kaleidoscope Play and Learn groups for families with young children 0-6 years old in Spanish and English. We provide these opportunities to promote strengthening protective factors, build resilience and make connections in a welcoming, safe and inclusive environment. Contract End Date: 12/31/2025","$   153,235.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,CBPS: Kaleidoscope Play and Learn,Children's Therapy Center,"Our Southeast King County Play and Learn groups aim to increase parent/caregiver knowledge and understanding of how to support positive child development through developmentally appropriate everyday activities and to help parents/caregivers feel more supported. Our Kaleidoscope Play and Learn (KPL) groups are free, weekly drop-in playgroups that are open to all children aged birth to 5 and their parents/caregivers in the greater Enumclaw and Maple Valley areas. Groups use play-based strategies to engage young children in fun, developmentally appropriate activities and help families prepare their children for preschool, kindergarten, and beyond. Contract End Date: 12/31/2025","$   153,235.00","3, 5, 7, 9"
Prenatal - 5,CBPS: Kaleidoscope Play and Learn,Chinese Information and Service Center,"CISC will serve Asian immigrant families in South and East King County with children ages 0-5 who have limited English proficiency and who are low-income. Our Kaleidoscope Play & Learn groups will focus on serving Cantonese, Mandarin, and Vietnamese-speaking parents/caregivers to provide coordinated caregiver/child activities, ongoing resources, developmental screening, caregiver learning, and social connection. Contract End Date: 12/31/2025","$   153,235.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Prenatal - 5,CBPS: Kaleidoscope Play and Learn,El Centro de la Raza,"El Centro de la Raza, will provide low-income Latinx families residing in King County an opportunity to meet and connect with peers, engage in culturally and linguistically relevant learning, increase their knowledge of parenting and child development, access concrete supports according to individual need, build social emotional competence in their children and promote overall positive wellbeing of the family. We will host a series of weekly Kaleidoscope Play and Learn groups that will use child-directed play and other coordinated group activities for children and their families to learn and grow. Contract End Date: 12/31/2025","$   153,235.00","2, 4, 5, 7, 8"
Prenatal - 5,CBPS: Kaleidoscope Play and Learn,Empowering Youth and Families Outreach,"Empowering Youth and Families Outreach's project will take place at Bellwether Housing's newest development, The Flourish on Rainier. This South Seattle-based affordable housing complex will house predominantly low-income families of color, especially Black families, who currently make up 65 percent of those we serve. Our project co-locates Kaleidoscope Play and Learn Sessions (for toddlers and young children 12 months to 5 years old) with low-income housing, affordable child care, and accessible pre-school services, which ensures families can receive holistic care and concrete support when they need it. Contract End Date: 12/31/2025","$   153,235.00","5, 9, 2, 8, 7"
Prenatal - 5,CBPS: Kaleidoscope Play and Learn,Encompass Northwest,"Encompass will host Kaleidoscope Play and Learn Groups to serve families in the rural Snoqualmie Valley where there are few other sources for support. Whenever possible, groups will be offered in English and Spanish to support Latinx community members. Encompass will draw on 56 years of experience providing innovative programming that is best-practice and/or evidence-based and designed to give children the best possible start in life. Contract End Date: 12/31/2025","$   153,235.00","3, 9"
Prenatal - 5,CBPS: Kaleidoscope Play and Learn,FamilyWorks,"FamilyWorks will provide multilingual Kaleidoscope Play and Learn groups, welcoming families from all zip codes to come together and learn through a play-based curriculum. Our playgroups, offered in English and Spanish, have adapted throughout the pandemic to capitalize on families’ strengths and respond to their changing needs. Rooted in the Family Support Principles, playgroups offer an opportunity for children to build social connections and for parents from various backgrounds to build community. Contract End Date: 12/31/2025","$   153,235.00","1, 2, 4"
Prenatal - 5,CBPS: Kaleidoscope Play and Learn,Horn of Africa Services,"Horn of Africa will provide four language-specific Kaleidoscope Play and Learn groups to families in English, Oromo, Amharic, Tigrinya, and Somali. Our KPL groups will serve Black, Indigenous, and People of Color (BIPOC) and East African caregivers, licensed home-based child care providers, and family, friends and neighbors (FFN) caregivers. Groups will meet in two-hour sessions on two days a week, at three HOAS sites; that is, NewHolly and Columbia City in southeast Seattle and in Kent. Contract End Date: 12/31/2025","$   153,235.00","1, 2, 4, 5, 7, 8, 9"
Prenatal - 5,CBPS: Kaleidoscope Play and Learn,Para Los Niños,Para Los Ninos Play and Learn early learning program provides bicultural and bilingual education programs for Latino children and families that support children to develop foundational academic and social/emotional skills and prepare for kindergarten. Our approach to early learning also includes support for parents to understand early learning child development goals and build confidence to access community and educational resources for their young children. Our programs support the creation of a strong home learning environment that enriches children's learning and confidence to begin school. Contract End Date: 12/31/2025,"$   153,235.00","5, 8"
Prenatal - 5,CBPS: Lactation and Perinatal Support,Center for Indigenous Midwifery,"Center for Indigenous Midwifery is an Indigenous-led educational organization. Our mission is ""Strengthening community by honoring, supporting, and reclaiming Indigenous midwifery care and culturally-centered family support.""  We are committed to supporting the health and well-being of pregnant and parenting families, Our focus is Native American/Alaska Native community, as well as Indigenous people from other territories who share our community. Our approach is to connect and support Indigenous families directly as much as possible, to provide culturally supportive resources for those we are not positioned to directly serve (i.e., by providing culturally-appropriate resources for non-Indigenous providers to distribute) and to grow more Indigenous Birthworkers so that culturally matched care can become more and more possible. Contract End Date: 12/31/2025","$   413,975.34","1, 2, 3, 4, 5, 6, 7, 8, 9"
